keys,en,pt,es
CB_WIN,Cracked it!,Descobriu!,¡Lo descifraste!
CB_THE_CODE,THE CODE,O CÓDIGO,EL CÓDIGO
CB_SCORE_NONE,Not one of those %s is in the code.,Nenhum desses %s está no código.,Ninguno de esos %s está en el código.
CB_SCORE_WRONG_1,"One right friend, in the wrong seat.","Um amigo certo, no lugar errado.","Un amigo correcto, en el lugar equivocado."
CB_SCORE_WRONG_N,"%s right friends, every one in the wrong seat.","%s amigos certos, todos no lugar errado.","%s amigos correctos, todos en el lugar equivocado."
CB_SCORE_RIGHT_1,One sat in the right seat,Um está no lugar certo,Uno está en el lugar correcto
CB_SCORE_RIGHT_N,%s sat in the right seat,%s estão no lugar certo,%s están en el lugar correcto
CB_SCORE_REST_OUT,%s. The rest are not in the code.,%s. Os outros não estão no código.,%s. Los demás no están en el código.
CB_SCORE_MORE_1,"%s, and one more belongs somewhere else.","%s, e mais um vai em outro lugar.","%s, y uno más va en otro lugar."
CB_SCORE_MORE_N,"%s, and %s more belong somewhere else.","%s, e mais %s vão em outro lugar.","%s, y %s más van en otro lugar."
BAL_RULES,"Every scale balances, and one weight is given. Use a fruit's minus and plus to change what it weighs; the beams follow at once. Solve it when every beam sits level.","Toda balança se equilibra, e um peso já vem dado. Use o menos e o mais de cada fruta para mudar quanto ela pesa; as hastes acompanham na hora. Resolva quando todas as hastes ficarem retas.","Cada balanza se equilibra, y un peso ya viene dado. Usa el menos y el más de cada fruta para cambiar cuánto pesa; los brazos se mueven al instante. Resuélvelo cuando todos los brazos queden nivelados."
BAL_GIVEN,That one is given. The scales do the rest.,Esse já vem dado. As balanças fazem o resto.,Ese ya viene dado. Las balanzas hacen el resto.
BAL_MIN,A thing always weighs at least one.,Tudo pesa pelo menos um.,Todo pesa al menos uno.
BAL_MAX_12,Twelve is as heavy as anything gets.,Doze é o máximo que algo pode pesar.,Doce es lo máximo que algo puede pesar.
BAL_MAX_9,Nine is as heavy as anything gets.,Nove é o máximo que algo pode pesar.,Nueve es lo máximo que algo puede pesar.
BAL_HINT,That one is settled. The scales do the rest.,Esse está resolvido. As balanças fazem o resto.,Ese está resuelto. Las balanzas hacen el resto.
BAL_CLEARED,Back to one each. Start from the scales.,De volta a um cada. Comece pelas balanças.,De vuelta a uno cada uno. Empieza por las balanzas.
BAL_SOLVED,Everything sits level. Beautifully weighed.,Tudo equilibrado. Que bela pesagem.,Todo nivelado. Qué bien pesado.
BAL_WIN,Everything balances!,Tudo se equilibra!,¡Todo se equilibra!
BAL_SHARE,%d kinds · %d scales,%d tipos · %d balanças,%d tipos · %d balanzas
BAL_SAYS_1,%s weighs the same as %s.,%s pesa o mesmo que %s.,%s pesa lo mismo que %s.
BAL_SAYS_N,%s weigh the same as %s.,%s pesam o mesmo que %s.,%s pesan lo mismo que %s.
BAL_AND,%s and %s,%s e %s,%s y %s
BAL_FRUIT_0_ONE,one apple,uma maçã,una manzana
BAL_FRUIT_0_TWO,two apples,duas maçãs,dos manzanas
BAL_FRUIT_0_MANY,%s apples,%s maçãs,%s manzanas
BAL_FRUIT_1_ONE,one pear,uma pera,una pera
BAL_FRUIT_1_TWO,two pears,duas peras,dos peras
BAL_FRUIT_1_MANY,%s pears,%s peras,%s peras
BAL_FRUIT_2_ONE,one pumpkin,uma abóbora,una calabaza
BAL_FRUIT_2_TWO,two pumpkins,duas abóboras,dos calabazas
BAL_FRUIT_2_MANY,%s pumpkins,%s abóboras,%s calabazas
BAL_FRUIT_3_ONE,one acorn,uma bolota,una bellota
BAL_FRUIT_3_TWO,two acorns,duas bolotas,dos bellotas
BAL_FRUIT_3_MANY,%s acorns,%s bolotas,%s bellotas
BAL_FRUIT_4_ONE,one mushroom,um cogumelo,un hongo
BAL_FRUIT_4_TWO,two mushrooms,dois cogumelos,dos hongos
BAL_FRUIT_4_MANY,%s mushrooms,%s cogumelos,%s hongos
BAL_NUM_3,three,três,tres
BAL_NUM_4,four,quatro,cuatro
BAL_NUM_5,five,cinco,cinco
BAL_NUM_6,six,seis,seis
BAL_NUM_7,seven,sete,siete
BAL_NUM_8,eight,oito,ocho
BAL_NUM_9,nine,nove,nueve
SK_RULES,"Split the field into plots. Each one holds exactly one number, and that number is its area.","Divida o campo em canteiros. Cada um tem exatamente um número, e esse número é a sua área.","Divide el campo en parcelas. Cada una tiene exactamente un número, y ese número es su área."
SK_RULES_SHAPE,"A square, tall or wide sign asks for a plot of that shape. A sign with no number may be any size, so long as it is its shape.","Uma placa quadrada, alta ou larga pede um canteiro com esse formato. Uma placa sem número pode ter qualquer tamanho, desde que tenha o formato certo.","Un cartel cuadrado, alto o ancho pide una parcela con esa forma. Un cartel sin número puede tener cualquier tamaño, siempre que tenga su forma."
SK_TIP_SHAPE,"The sign's shape is the plot's shape: square, tall or wide. No number means any size.","O formato da placa é o do canteiro: quadrado, alto ou largo. Sem número, qualquer tamanho.","La forma del cartel es la de la parcela: cuadrada, alta o ancha. Sin número, cualquier tamaño."
SK_TIP_DRAG,"Drag corner to corner. Each plot holds one number, and that number is how many squares it covers.","Arraste de canto a canto. Cada canteiro tem um número, e esse número é quantas casas ele cobre.","Arrastra de esquina a esquina. Cada parcela tiene un número, y ese número es cuántas casillas cubre."
SK_TIP_REDRAW,Draw over a plot to replace it; tap inside one to clear it.,Desenhe por cima de um canteiro para trocá-lo; toque dentro dele para apagá-lo.,Dibuja sobre una parcela para cambiarla; toca dentro de ella para borrarla.
SK_TIP_BLUSH,"Two numbers in one bed, or none, and the bed blushes.","Dois números num canteiro, ou nenhum, e ele fica corado.","Dos números en una parcela, o ninguno, y se sonroja."
SK_PINNED,That bed is pinned. A hint drew it.,Esse canteiro está fixo. Uma dica o desenhou.,Esa parcela está fija. Una pista la dibujó.
SK_SOLVED,Every plot has its number. The beds go in.,Cada canteiro tem seu número. Hora de plantar.,Cada parcela tiene su número. A plantar.
SK_BLUSH_1,One bed has the wrong number of markers in it.,Um canteiro está com a quantidade errada de números.,Una parcela tiene la cantidad equivocada de números.
SK_BLUSH_N,%d beds have the wrong number of markers in them.,%d canteiros estão com a quantidade errada de números.,%d parcelas tienen la cantidad equivocada de números.
SK_WRONG_SIZE,"Every square is planted, but some plot is the wrong size or shape.","Todas as casas estão plantadas, mas algum canteiro tem o tamanho ou o formato errado.","Todas las casillas están plantadas, pero alguna parcela tiene el tamaño o la forma equivocados."
SK_BARE_1,1 square still bare.,Falta 1 casa.,Falta 1 casilla.
SK_BARE_N,%d squares still bare.,Faltam %d casas.,Faltan %d casillas.
SK_FENCED,That bed is fenced for good.,Esse canteiro está cercado de vez.,Esa parcela quedó cercada para siempre.
SK_CHECK_OK,Every number is settled.,Todos os números estão certos.,Todos los números están resueltos.
SK_CHECK_1,1 number is not settled yet.,1 número ainda não está certo.,1 número aún no está resuelto.
SK_CHECK_N,%d numbers are not settled yet.,%d números ainda não estão certos.,%d números aún no están resueltos.
SK_CLEARED,"Cleared. The hints you spent are not refunded, only unpinned.","Limpo. As dicas usadas não voltam, só deixam de estar fixas.","Limpio. Las pistas usadas no se devuelven, solo se sueltan."
SK_WIN,The whole field is planted.,O campo todo está plantado.,Todo el campo está plantado.
SK_SHARE_PLOTS,%d plots,%d canteiros,%d parcelas
UT_TIP_DRAG,Drag a lantern. No two cords may cross.,Arraste uma lanterna. Nenhum fio pode cruzar outro.,Arrastra un farol. Ningún cordón puede cruzar otro.
UT_TIP_KNOT,A knot is drawn exactly where two cords meet. Pull one of them off it.,Um nó aparece bem onde dois fios se cruzam. Tire um deles de lá.,Aparece un nudo justo donde se cruzan dos cordones. Saca uno de ahí.
UT_TIP_APART,Keep the lanterns apart. A heap in one corner is not an answer.,Deixe as lanternas separadas. Um monte num canto não é resposta.,Mantén los faroles separados. Un montón en una esquina no es respuesta.
UT_RULES,Drag the lanterns until no two cords cross. A knot is drawn wherever two of them do. Keep the lanterns apart -- a heap in one corner does not count.,Arraste as lanternas até que nenhum fio cruze outro. Um nó aparece onde dois deles se cruzam. Deixe as lanternas separadas -- um monte num canto não vale.,Arrastra los faroles hasta que ningún cordón cruce otro. Aparece un nudo donde dos de ellos se cruzan. Mantén los faroles separados -- un montón en una esquina no cuenta.
UT_CROWDED,"No cords cross, but give them room. A pile is not a solution.","Nenhum fio se cruza, mas dê espaço a eles. Um monte não é solução.","Ningún cordón se cruza, pero dales espacio. Un montón no es solución."
UT_ONE_KNOT_LEFT,One knot left. Nearly there.,Falta um nó. Quase lá.,Queda un nudo. Ya casi.
UT_GONE_ONE,One knot gone. %d still to go.,Um nó a menos. Faltam %d.,Un nudo menos. Quedan %d.
UT_GONE_N,%d knots gone. %d still to go.,%d nós a menos. Faltam %d.,%d nudos menos. Quedan %d.
UT_PINNED,That one is on its peg now. It will not move again.,Essa está presa no gancho agora. Não sai mais do lugar.,Ese ya está en su gancho. No se moverá más.
UT_RESET,Back to the tangle you were given.,De volta ao emaranhado do começo.,De vuelta al enredo del principio.
UT_WIN_SUB,Not a knot left.,Nenhum nó sobrou.,No queda ni un nudo.
UT_WIN,Not a knot left. The lights go on.,Nenhum nó sobrou. As luzes acendem.,No queda ni un nudo. Se encienden las luces.
UT_SHARE,🏮 %d lanterns · %d cords,🏮 %d lanternas · %d fios,🏮 %d faroles · %d cordones
TN_TIP_BESIDE,"One tent orthogonally beside every tree. Tents never touch, not even corner to corner.","Uma barraca ao lado de cada árvore, nunca na diagonal. Barracas nunca se tocam, nem pelas quinas.","Una carpa al lado de cada árbol, nunca en diagonal. Las carpas nunca se tocan, ni por las esquinas."
TN_TIP_CAIRNS,Drag across the meadow to lay cairns on ground you have ruled out.,Arraste pelo campo para pôr pedrinhas onde você já descartou.,Arrastra por el prado para poner piedritas donde ya descartaste.
TN_TIP_NUMBERS,The numbers count the tents in each line.,Os números contam as barracas de cada linha.,Los números cuentan las carpas de cada línea.
TN_RULES,"Pitch one tent orthogonally beside every tree. Tents never touch, not even corner to corner, and the numbers count the tents in each line.","Arme uma barraca ao lado de cada árvore, nunca na diagonal. Barracas nunca se tocam, nem pelas quinas, e os números contam as barracas de cada linha.","Arma una carpa al lado de cada árbol, nunca en diagonal. Las carpas nunca se tocan, ni por las esquinas, y los números cuentan las carpas de cada línea."
TN_REFUSE_TREE,A tree stands there. Tents go beside them.,Ali tem uma árvore. As barracas vão ao lado delas.,Ahí hay un árbol. Las carpas van a su lado.
TN_REFUSE_PEGGED,That tent is pegged down. A hint pitched it.,Essa barraca está fincada. Uma dica a armou.,Esa carpa está clavada. La armó una pista.
TN_BAD_ONE,"One tent is in trouble: it touches another, or it has no tree beside it.",Uma barraca está com problema: encosta em outra ou não tem árvore ao lado.,Una carpa tiene un problema: toca otra o no tiene un árbol al lado.
TN_BAD_N,"%d tents are in trouble: touching another, or with no tree beside them.",%d barracas estão com problema: encostam em outra ou não têm árvore ao lado.,%d carpas tienen un problema: tocan otra o no tienen un árbol al lado.
TN_OVER_ONE,One line has more tents than its number allows.,Uma linha tem mais barracas do que o número permite.,Una línea tiene más carpas de las que su número permite.
TN_OVER_N,%d lines have more tents than their numbers allow.,%d linhas têm mais barracas do que os números permitem.,%d líneas tienen más carpas de las que sus números permiten.
TN_UNMATCHED,Every tent is pitched. Something is still not matched up.,Todas as barracas estão armadas. Ainda tem algo que não bate.,Todas las carpas están armadas. Algo todavía no cuadra.
TN_LEFT_ONE,%d tent still to pitch.,Falta armar %d barraca.,Falta armar %d carpa.
TN_LEFT_N,%d tents still to pitch.,Faltam armar %d barracas.,Faltan armar %d carpas.
TN_PEGGED,That tent is pegged down for good.,Essa barraca ficou fincada de vez.,Esa carpa quedó clavada para siempre.
TN_WRONG_ONE,%d tent is in the wrong place.,%d barraca está no lugar errado.,%d carpa está en el lugar equivocado.
TN_WRONG_N,%d tents are in the wrong place.,%d barracas estão no lugar errado.,%d carpas están en el lugar equivocado.
TN_ALL_RIGHT,Every tent you have pitched is right.,Todas as barracas que você armou estão certas.,Todas las carpas que armaste están bien.
TN_RESET,"The meadow is cleared. The hints you spent are not refunded, only unpinned.","O campo está limpo. As dicas usadas não voltam, só ficam soltas.","El prado está despejado. Las pistas usadas no se devuelven, solo se sueltan."
TN_WIN,Every tree has its tent. The camp is pitched.,Cada árvore tem sua barraca. O acampamento está pronto.,Cada árbol tiene su carpa. El campamento está listo.
TN_WIN_SUB,Every tree has its camp.,Cada árvore tem seu acampamento.,Cada árbol tiene su campamento.
LU_TIP_LIGHT,Light every floor stone. A lantern lights its row and column until a block stops it.,Ilumine cada pedra do chão. Uma lanterna ilumina sua linha e coluna até um bloco barrar.,Ilumina cada piedra del suelo. Un farol ilumina su fila y su columna hasta que un bloque lo detiene.
LU_TIP_NO_SEE,No lantern may light another. Drag across the court to chip the stones you have ruled out.,Nenhuma lanterna pode iluminar outra. Arraste pelo pátio para marcar as pedras que você descartou.,Ningún farol puede iluminar a otro. Arrastra por el patio para marcar las piedras que descartaste.
LU_TIP_NUMBER,A number counts the lanterns touching that block. Half the blocks carry none.,Um número conta as lanternas encostadas naquele bloco. Metade dos blocos não tem número.,Un número cuenta los faroles que tocan ese bloque. La mitad de los bloques no tiene número.
LU_RULES,Light every floor stone. A lantern lights its row and column until a block stops it. No lantern may light another. Numbers count the lanterns touching a block.,Ilumine cada pedra do chão. Uma lanterna ilumina sua linha e coluna até um bloco barrar. Nenhuma lanterna pode iluminar outra. Os números contam as lanternas encostadas num bloco.,Ilumina cada piedra del suelo. Un farol ilumina su fila y su columna hasta que un bloque lo detiene. Ningún farol puede iluminar a otro. Los números cuentan los faroles que tocan un bloque.
LU_REFUSE_BLOCK,A block of stone stands there. It is what stops the light.,Ali tem um bloco de pedra. É ele que barra a luz.,Ahí hay un bloque de piedra. Es lo que detiene la luz.
LU_REFUSE_PINNED,That lantern is lit for good. A hint set it down.,Essa lanterna está acesa de vez. Uma dica a colocou.,Ese farol quedó encendido para siempre. Lo puso una pista.
LU_SEEN_TWO,Two lanterns can see each other down that line.,Duas lanternas se enxergam nessa linha.,Dos faroles se ven en esa línea.
LU_SEEN_N,%d lanterns are lighting each other.,%d lanternas estão iluminando umas às outras.,%d faroles se están iluminando entre sí.
LU_OVER_ONE,A block has more lanterns beside it than its number allows.,Um bloco tem mais lanternas ao lado do que o número permite.,Un bloque tiene más faroles al lado de los que su número permite.
LU_OVER_N,%d blocks have more lanterns beside them than their numbers allow.,%d blocos têm mais lanternas ao lado do que os números permitem.,%d bloques tienen más faroles al lado de los que sus números permiten.
LU_DARK_ONE,One stone is still in the dark.,Uma pedra ainda está no escuro.,Una piedra sigue a oscuras.
LU_DARK_N,%d stones are still in the dark.,%d pedras ainda estão no escuro.,%d piedras siguen a oscuras.
LU_UNSATISFIED,Every stone is lit. A number is still not satisfied.,Todas as pedras estão iluminadas. Ainda falta um número bater.,Todas las piedras están iluminadas. Todavía hay un número que no cuadra.
LU_PINNED,That lantern is lit for good.,Essa lanterna ficou acesa de vez.,Ese farol quedó encendido para siempre.
LU_WRONG_ONE,%d lantern stands in the wrong place.,%d lanterna está no lugar errado.,%d farol está en el lugar equivocado.
LU_WRONG_N,%d lanterns stand in the wrong place.,%d lanternas estão no lugar errado.,%d faroles están en el lugar equivocado.
LU_ALL_RIGHT,Every lantern you have set down is right.,Todas as lanternas que você pôs estão certas.,Todos los faroles que pusiste están bien.
LU_RESET,"The court is cleared. The hints you spent are not refunded, only unpinned.","O pátio está limpo. As dicas usadas não voltam, só ficam soltas.","El patio está despejado. Las pistas usadas no se devuelven, solo se sueltan."
LU_WIN,Not a stone left in the dark.,Nenhuma pedra ficou no escuro.,Ni una piedra quedó a oscuras.
OL_TIP_START,"Start on a green post and walk every line exactly once, without lifting your finger.","Comece num poste verde e passe por cada linha uma única vez, sem tirar o dedo.","Empieza en un poste verde y recorre cada línea una sola vez, sin levantar el dedo."
OL_TIP_DRAG,Drag from post to post. A line you have walked turns from stone to warm plank.,Arraste de poste em poste. A linha percorrida vira de pedra em tábua.,Arrastra de poste en poste. La línea recorrida pasa de piedra a tabla.
OL_TIP_GREEN,Two green posts mean the stroke has to begin at one of them.,Dois postes verdes: o traço tem que começar em um deles.,Dos postes verdes: el trazo tiene que empezar en uno de ellos.
OL_RULES,"Start on a green post and walk along every line exactly once, without going over one twice. Walk into a part of the figure you cannot get back out of and the rest is stranded: undo back to the fork.","Comece num poste verde e passe por cada linha uma única vez, sem repetir nenhuma. Se você entrar numa parte da figura de onde não dá para sair, o resto fica isolado: desfaça até a bifurcação.","Empieza en un poste verde y recorre cada línea una sola vez, sin pasar dos veces por ninguna. Si entras en una parte de la figura de la que no puedes salir, el resto queda aislado: deshaz hasta la bifurcación."
OL_BEGIN_GREEN,The stroke has to begin on one of the two green posts.,O traço tem que começar num dos dois postes verdes.,El trazo tiene que empezar en uno de los dos postes verdes.
OL_BEGIN_ANY,Begin anywhere: this figure has no odd post.,Comece onde quiser: esta figura não tem poste ímpar.,Empieza donde quieras: esta figura no tiene poste impar.
OL_NOW_WALK,Now walk every line exactly once.,Agora passe por cada linha uma única vez.,Ahora recorre cada línea una sola vez.
OL_WALKED,That line is walked already. Every line takes exactly one crossing.,Essa linha já foi percorrida. Cada linha só se cruza uma vez.,Esa línea ya está recorrida. Cada línea se cruza una sola vez.
OL_STILL_ONE,One line is still stranded behind you.,Uma linha ainda está isolada atrás de você.,Una línea sigue aislada detrás de ti.
OL_STILL_N,%d lines are still stranded behind you.,%d linhas ainda estão isoladas atrás de você.,%d líneas siguen aisladas detrás de ti.
OL_STRANDED_ONE,One line is stranded behind you now. Undo back to the fork.,Uma linha ficou isolada atrás de você. Desfaça até a bifurcação.,Una línea quedó aislada detrás de ti. Deshaz hasta la bifurcación.
OL_STRANDED_N,%d lines are stranded behind you now. Undo back to the fork.,%d linhas ficaram isoladas atrás de você. Desfaça até a bifurcação.,%d líneas quedaron aisladas detrás de ti. Deshaz hasta la bifurcación.
OL_LEFT_ONE,One line still to walk.,Falta uma linha.,Queda una línea.
OL_LEFT_N,%d lines still to walk.,Faltam %d linhas.,Quedan %d líneas.
OL_HINT_BEGIN,Begin there.,Comece ali.,Empieza ahí.
OL_NO_SAFE,There is no safe step left from here. Undo back to the fork.,Não há mais passo seguro daqui. Desfaça até a bifurcação.,No queda ningún paso seguro desde aquí. Deshaz hasta la bifurcación.
OL_CHECK_BARE,"Nothing is walked yet, so nothing is stranded. Begin on a green post.","Nada foi percorrido, então nada está isolado. Comece num poste verde.","Todavía no recorriste nada, así que nada está aislado. Empieza en un poste verde."
OL_CHECK_OK,Every line left can still be reached from where you stand.,Todas as linhas que faltam ainda dá para alcançar daqui.,Todas las líneas que faltan se pueden alcanzar desde aquí.
OL_LOST_ONE,One line is stranded: nothing can reach it now.,Uma linha está isolada: nada chega mais até ela.,Una línea está aislada: ya nada puede llegar a ella.
OL_LOST_N,%d lines are stranded: nothing can reach them now.,%d linhas estão isoladas: nada chega mais até elas.,%d líneas están aisladas: ya nada puede llegar a ellas.
OL_RESET,The jetty is taken up again. The hints you spent are not refunded.,O píer foi desmontado. As dicas usadas não voltam.,El muelle se desarmó. Las pistas usadas no se devuelven.
OL_WIN,"One stroke, and not a line missed.","Um traço só, e nenhuma linha esquecida.","Un solo trazo, y ninguna línea olvidada."
OL_WIN_SUB,"One stroke, not a line missed.","Um traço só, nenhuma linha esquecida.","Un solo trazo, ninguna línea olvidada."
OL_SHARE,✏️ %d lines in one stroke,✏️ %d linhas num traço só,✏️ %d líneas en un solo trazo
NG_TIP_RUNS,"The numbers count the runs of filled cells in each line, in order.","Os números contam as sequências de casas pintadas em cada linha, em ordem.","Los números cuentan las tiras de casillas pintadas en cada línea, en orden."
NG_TIP_DRAG,Drag to paint with the chip you have picked. Drag back over your own paint to rub it out.,Arraste para pintar com a peça escolhida. Passe de novo por cima para apagar.,Arrastra para pintar con la ficha elegida. Vuelve a pasar por encima para borrar.
NG_TIP_GREEN,A line's numbers turn green when its runs read exactly as they say.,Os números de uma linha ficam verdes quando as sequências batem com eles.,Los números de una línea se ponen verdes cuando sus tiras coinciden con ellos.
NG_RULES,"The numbers give the lengths of the filled runs in each line, in order, with a gap between runs.","Os números dão o tamanho das sequências pintadas em cada linha, em ordem, com um espaço entre elas.","Los números dan el largo de las tiras pintadas en cada línea, en orden, con un hueco entre ellas."
NG_GROUTED,That tile is grouted in. A hint laid it.,Essa peça está fixa. Uma dica a colocou.,Esa ficha está fija. La puso una pista.
NG_OVER_ONE,One line holds more filled cells than its numbers allow.,Uma linha tem mais casas pintadas do que seus números permitem.,Una línea tiene más casillas pintadas de lo que sus números permiten.
NG_OVER_N,%d lines hold more filled cells than their numbers allow.,%d linhas têm mais casas pintadas do que seus números permitem.,%d líneas tienen más casillas pintadas de lo que sus números permiten.
NG_LINES_OK,Every line reads as it should. Something is still in the wrong place.,Todas as linhas batem. Mas algo ainda está no lugar errado.,Todas las líneas cuadran. Pero algo sigue en el lugar equivocado.
NG_LEFT_ONE,%d tile still to lay.,Falta %d peça.,Falta %d ficha.
NG_LEFT_N,%d tiles still to lay.,Faltam %d peças.,Faltan %d fichas.
NG_DISAGREE,All the tiles are down. %d lines still disagree.,Todas as peças estão no lugar. %d linhas ainda não batem.,Todas las fichas están puestas. %d líneas aún no cuadran.
NG_HINT,"That tile belongs to the picture, and it is grouted in for good.",Essa peça faz parte do desenho e fica fixa de vez.,Esa ficha es parte del dibujo y queda fija para siempre.
NG_WRONG_ONE,%d tile is in the wrong place.,%d peça está no lugar errado.,%d ficha está en el lugar equivocado.
NG_WRONG_N,%d tiles are in the wrong place.,%d peças estão no lugar errado.,%d fichas están en el lugar equivocado.
NG_ALL_RIGHT,Every tile you have laid belongs to the picture.,Todas as peças que você colocou fazem parte do desenho.,Todas las fichas que pusiste son parte del dibujo.
NG_RESET,"The floor is cleared. The hints you spent are not refunded, only unpinned.","Tudo limpo. As dicas usadas não voltam, só deixam de estar fixas.","Todo limpio. Las pistas usadas no se devuelven, solo se sueltan."
NG_SOLVED,There it is. The picture you were counting towards.,Aí está. O desenho que você vinha contando.,Ahí está. El dibujo que venías contando.
NG_WIN,The numbers made a picture.,Os números viraram um desenho.,Los números formaron un dibujo.
QN_TIP_ONE_EACH,"One queen in every row, every column and every colour.","Uma rainha em cada linha, cada coluna e cada cor.","Una reina en cada fila, cada columna y cada color."
QN_TIP_SEES,A queen crosses out every seat she can see.,Uma rainha risca todas as casas que ela vê.,Una reina tacha todas las casillas que ve.
QN_TIP_TOUCH,"Two queens never touch, not even at a corner.","Duas rainhas nunca se tocam, nem na diagonal.","Dos reinas nunca se tocan, ni siquiera en diagonal."
QN_RULES,"Seat one queen in every row, every column and every colour. No two queens may touch, not even at a corner. A queen crosses out every seat she can see.","Coloque uma rainha em cada linha, cada coluna e cada cor. Duas rainhas não podem se tocar, nem na diagonal. Uma rainha risca todas as casas que ela vê.","Coloca una reina en cada fila, cada columna y cada color. Dos reinas no pueden tocarse, ni siquiera en diagonal. Una reina tacha todas las casillas que ve."
QN_SEEN,A queen already sees that seat.,Uma rainha já vê essa casa.,Una reina ya ve esa casilla.
QN_PINNED,That queen was given. She stays.,Essa rainha veio de presente. Ela fica.,Esa reina venía dada. Se queda.
QN_TO_SEAT,%d queens to seat.,Faltam %d rainhas.,Faltan %d reinas.
QN_SEATED_ONE,"%d queen seated, %d to go.","%d rainha no lugar, faltam %d.","%d reina colocada, faltan %d."
QN_SEATED_N,"%d queens seated, %d to go.","%d rainhas no lugar, faltam %d.","%d reinas colocadas, faltan %d."
QN_HINT,"This queen was given, and she stays.","Esta rainha veio de presente, e ela fica.","Esta reina te la dimos, y se queda."
QN_HINT_MOVED,"That queen was in the wrong seat. This one was given, and she stays.","Aquela rainha estava no lugar errado. Esta veio de presente, e fica.","Esa reina estaba en el lugar equivocado. Esta te la dimos, y se queda."
QN_WRONG_ONE,%d queen is in the wrong seat.,%d rainha está no lugar errado.,%d reina está en el lugar equivocado.
QN_WRONG_N,%d queens are in the wrong seat.,%d rainhas estão no lugar errado.,%d reinas están en el lugar equivocado.
QN_SEAT_FIRST,Seat a queen first.,Coloque uma rainha primeiro.,Coloca una reina primero.
QN_ALL_RIGHT,Every queen you have seated is right.,Todas as rainhas que você colocou estão certas.,Todas las reinas que colocaste están bien.
QN_RESET,The court is cleared. A given queen keeps her seat.,Tabuleiro limpo. Uma rainha dada fica no lugar.,Tablero limpio. Una reina dada conserva su lugar.
QN_WIN,Every queen has her seat.,Cada rainha tem seu lugar.,Cada reina tiene su lugar.
MP_TIP_COUNT,A number counts the mushrooms in the eight cells touching it.,Um número conta os cogumelos nas oito casas ao redor dele.,Un número cuenta los hongos en las ocho casillas a su alrededor.
MP_TIP_PLANT,Plant a mushroom where you are sure. Lay a pebble where you are not.,Plante um cogumelo onde tiver certeza. Ponha uma pedrinha onde não houver.,Planta un hongo donde estés seguro. Pon una piedrita donde no haya.
